Predicate	ObjectType	Count
http://www.wikidata.org/prop/direct/P184	http://www.wikidata.org/entity/Q5	1
http://www.wikidata.org/prop/direct/P1411	http://www.wikidata.org/entity/Q188914	1
http://www.wikidata.org/prop/direct/P1830	http://www.wikidata.org/entity/Q3305213	1
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q202686	1
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q20181813	1
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q7725634	1
http://www.wikidata.org/prop/direct/P19	http://www.wikidata.org/entity/Q200250	1
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q4392985	1
http://www.wikidata.org/prop/direct/P172	http://www.wikidata.org/entity/Q6266	1
http://www.wikidata.org/prop/direct/P106	http://www.wikidata.org/entity/Q4164871	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q1364556	1
http://www.wikidata.org/prop/direct/P1424	http://www.wikidata.org/entity/Q11753321	1
http://www.wikidata.org/prop/direct/P136	http://www.wikidata.org/entity/Q4263830	1
http://www.wikidata.org/prop/direct/P119	http://www.wikidata.org/entity/Q16970	1
http://www.wikidata.org/prop/direct/P135	http://www.wikidata.org/entity/Q3326717	1
http://www.wikidata.org/prop/direct/P800	http://www.wikidata.org/entity/Q25379	1
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q875538	1
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q49447	1
http://www.wikidata.org/prop/direct/P39	http://www.wikidata.org/entity/Q294414	1
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q15936437	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q209896	1
http://www.wikidata.org/prop/direct/P735	http://www.wikidata.org/entity/Q1130279	1
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q1188663	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q268200	1
http://www.wikidata.org/prop/direct/P6379	http://www.wikidata.org/entity/Q383092	1
http://www.wikidata.org/prop/direct/P7763	http://www.wikidata.org/entity/Q1151067	1
http://www.wikidata.org/prop/direct/P1884	http://www.wikidata.org/entity/Q1048314	1
http://www.wikidata.org/prop/direct/P136	http://www.wikidata.org/entity/Q483394	1
http://www.wikidata.org/prop/direct/P20	http://www.wikidata.org/entity/Q33506	1
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q6465	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q613142	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q163740	1
http://www.wikidata.org/prop/direct/P945	http://www.wikidata.org/entity/Q3024240	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q11032	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q1110794	1
http://www.wikidata.org/prop/direct/P5008	http://www.wikidata.org/entity/Q43229	1
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q571	1
http://www.wikidata.org/prop/direct/P5008	http://www.wikidata.org/entity/Q16022392	1
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q866196	1
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q484170	1
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q208511	1
http://www.wikidata.org/prop/direct/P39	http://www.wikidata.org/entity/Q66712772	1
http://www.wikidata.org/prop/direct/P512	http://www.wikidata.org/entity/Q189533	1
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q189004	1
http://www.wikidata.org/prop/direct/P1830	http://www.wikidata.org/entity/Q144	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q1896989	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q484652	1
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q245065	1
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q1407225	1
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q20978643	1
